hero_health,enemy_health,hero_magic_stock,enemy_magic_stock,good_hit_cards,normal_hit_cards,low_hit_cards,do_nothing_cards,self_hurt_cards,both_hurt_cards,is_hero_magic,is_enemy_magic
95,87,2,2,5,4,5,1,1,0,0,1
85,82,2,1,5,4,3,1,1,0,0,1
65,74,2,0,4,3,3,1,1,0,0,0
65,66,2,0,4,2,3,0,1,0,1,0
57,46,1,0,3,1,3,0,1,0,0,0
52,38,1,0,3,0,2,0,1,0,0,0
42,33,1,0,2,0,1,0,1,0,0,0
22,33,1,0,1,0,1,0,0,0,1,0
12,23,0,0,5,5,5,1,1,1,0,0
2,15,0,0,4,4,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
90,92,2,2,4,4,5,1,1,1,1,0
60,92,1,2,3,4,5,1,0,1,0,0
52,87,1,2,3,3,4,1,0,1,1,1
36,77,0,1,3,2,3,1,0,1,0,0
28,72,0,1,3,1,2,1,0,1,0,0
18,62,0,1,1,1,2,1,0,1,0,0
13,57,0,1,1,1,2,0,0,0,0,0
8,49,0,1,1,0,1,0,0,0,0,1
100,100,2,2,5,5,5,1,1,1,0,0
90,92,2,2,4,4,5,1,1,1,0,0
90,82,2,2,3,4,5,0,1,1,0,0
82,77,2,2,3,3,4,0,1,1,0,0
72,69,2,2,2,2,4,0,1,1,0,1
62,61,2,1,2,1,3,0,1,1,0,0
54,51,2,1,1,0,3,0,1,1,1,1
44,41,1,0,1,0,1,0,1,1,1,0
29,31,0,0,1,0,0,0,1,0,0,0
29,11,0,0,5,5,5,1,1,1,0,0
24,6,0,0,5,5,3,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,95,2,2,5,4,4,1,1,1,0,0
84,85,2,2,4,3,4,1,1,1,0,0
74,85,2,2,3,3,4,0,1,1,0,0
64,80,2,2,3,3,3,0,1,0,1,0
54,70,1,2,2,3,2,0,1,0,0,0
46,62,1,2,2,1,2,0,1,0,0,0
46,47,1,2,2,1,1,0,0,0,0,0
41,39,1,2,2,0,0,0,0,0,0,1
21,29,1,1,5,5,5,1,1,1,0,0
11,24,1,1,4,5,4,1,1,1,0,1
11,19,1,0,4,5,3,0,1,1,0,0
3,14,1,0,4,4,2,0,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,1
85,95,2,1,5,5,4,1,1,0,0,1
69,85,2,0,4,4,4,1,1,0,1,0
69,65,1,0,3,4,4,0,1,0,0,0
61,60,1,0,3,3,3,0,1,0,1,0
56,40,0,0,2,3,2,0,1,0,0,0
51,30,0,0,1,3,1,0,1,0,0,0
33,30,0,0,1,2,1,0,0,0,0,0
28,22,0,0,1,1,0,0,0,0,0,0
18,14,0,0,5,5,5,1,1,1,0,0
13,14,0,0,5,5,4,0,1,1,0,0
5,9,0,0,5,4,3,0,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,90,2,2,4,4,5,1,1,1,1,0
84,80,1,2,4,3,4,1,1,1,0,0
64,80,1,2,3,3,4,1,0,1,0,0
59,75,1,2,3,3,2,1,0,1,0,1
59,65,1,1,2,3,2,0,0,1,1,0
49,45,0,1,0,3,2,0,0,1,0,0
39,40,0,1,0,3,1,0,0,0,0,1
23,35,0,0,0,2,0,0,0,0,0,0
15,27,0,0,5,5,5,1,1,1,0,0
7,17,0,0,4,4,5,1,1,1,0,0
2,7,0,0,4,4,4,1,1,0,0,0
100,100,2,2,5,5,5,1,1,1,0,0
90,90,2,2,3,5,5,1,1,1,0,0
85,80,2,2,2,5,4,1,1,1,1,0
77,70,1,2,2,4,3,1,1,1,0,0
67,65,1,2,1,4,2,1,1,1,0,0
59,60,1,2,1,3,1,1,1,1,1,1
59,44,0,1,1,2,1,0,1,1,0,1
39,36,0,0,0,1,1,0,1,1,0,0
34,28,0,0,0,0,0,0,1,1,0,0
29,13,0,0,5,5,5,1,1,1,0,0
24,8,0,0,5,5,3,1,1,1,0,0
11,3,0,0,5,4,3,1,1,0,0,0
100,100,2,2,5,5,5,1,1,1,0,0
95,92,2,2,5,4,4,1,1,1,0,0
90,82,2,2,4,4,3,1,1,1,0,1
70,74,2,1,3,3,3,1,1,1,1,0
70,48,1,1,3,2,3,1,0,1,1,1
60,28,0,0,2,2,2,1,0,1,0,0
60,23,0,0,2,2,1,0,0,1,0,0
52,13,0,0,1,1,1,0,0,1,0,0
47,3,0,0,1,1,0,0,0,0,0,0
100,100,2,2,5,5,5,1,1,1,0,0
95,90,2,2,4,5,4,1,1,1,0,0
87,85,2,2,4,4,3,1,1,1,0,0
79,77,2,2,4,2,3,1,1,1,1,0
59,67,1,2,3,2,3,1,1,0,1,0
54,47,0,2,2,2,2,1,1,0,0,1
44,37,0,1,1,2,1,1,1,0,0,0
44,29,0,1,1,1,1,0,1,0,0,0
39,21,0,1,1,0,0,0,1,0,0,0
39,1,0,1,5,5,5,1,1,1,0,1
100,100,2,2,5,5,5,1,1,1,0,0
90,95,2,2,4,5,4,1,1,1,1,0
82,75,1,2,3,4,4,1,1,1,0,0
74,67,1,2,3,2,4,1,1,1,0,0
54,67,1,2,2,2,4,1,0,1,0,0
49,62,1,2,2,2,4,0,0,0,0,0
39,52,1,2,0,2,4,0,0,0,0,0
31,47,1,2,0,1,3,0,0,0,0,0
26,42,1,2,0,1,1,0,0,0,0,0
18,37,1,2,5,5,5,1,1,1,1,0
13,17,0,2,4,5,4,1,1,1,0,0
3,9,0,2,3,4,4,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
95,95,2,2,5,5,3,1,1,1,0,0
87,90,2,2,5,4,2,1,1,1,0,0
82,80,2,2,5,4,1,1,1,0,0,0
77,72,2,2,5,3,0,1,1,0,0,0
67,64,2,2,4,2,0,1,1,0,0,0
67,44,2,2,3,2,0,1,0,0,0,0
59,34,2,2,2,1,0,1,0,0,0,1
39,26,2,1,1,0,0,1,0,0,0,0
39,16,2,1,5,5,5,1,1,1,0,0
21,16,2,1,5,4,5,1,0,1,1,0
11,6,1,1,4,4,4,1,0,1,0,0
1,1,1,1,3,4,3,1,0,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
100,85,2,2,5,5,4,1,0,1,0,0
95,75,2,2,4,5,3,1,0,1,1,0
90,60,1,2,4,5,2,1,0,0,0,0
80,50,1,2,2,5,2,1,0,0,1,0
80,34,0,2,2,4,2,0,0,0,0,0
72,26,0,2,2,2,2,0,0,0,0,0
64,21,0,2,2,1,1,0,0,0,0,0
54,13,0,2,1,0,1,0,0,0,0,0
44,8,0,2,5,5,5,1,1,1,0,0
36,3,0,2,5,4,4,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,1
90,95,2,1,5,5,3,1,1,1,1,1
74,79,1,0,5,3,3,1,1,1,0,0
69,74,1,0,5,3,1,1,1,1,0,0
59,64,1,0,3,3,1,1,1,1,0,0
59,46,1,0,3,2,1,1,0,1,0,0
49,41,1,0,3,2,0,1,0,0,0,0
39,41,1,0,2,2,0,0,0,0,0,0
29,31,1,0,0,2,0,0,0,0,0,0
21,23,1,0,5,5,5,1,1,1,1,0
16,13,0,0,5,5,3,1,1,1,0,0
16,5,0,0,5,4,3,0,1,1,0,0
100,100,2,2,5,5,5,1,1,1,1,0
95,90,1,2,5,5,3,1,1,1,0,0
90,85,1,2,5,5,1,1,1,1,1,0
80,69,0,2,4,4,1,1,1,1,0,1
59,64,0,1,4,3,1,1,1,0,0,0
49,56,0,1,3,2,1,1,1,0,0,0
29,56,0,1,2,2,1,1,0,0,0,0
29,48,0,1,2,1,1,0,0,0,0,0
21,38,0,1,1,0,1,0,0,0,0,0
11,33,0,1,5,5,5,1,1,1,0,0
1,23,0,1,3,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,1
80,92,2,1,4,4,5,1,1,1,0,1
64,87,2,0,4,3,4,1,1,1,0,0
54,77,2,0,2,3,4,1,1,1,0,0
49,67,2,0,1,3,3,1,1,1,0,0
44,57,2,0,0,3,2,1,1,1,0,0
36,57,2,0,0,2,2,0,1,1,0,0
36,42,2,0,0,2,1,0,0,1,1,0
31,21,1,0,0,1,1,0,0,0,1,0
23,11,0,0,5,5,5,1,1,1,0,0
13,3,0,0,4,4,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,1
80,92,2,1,4,4,5,1,1,1,0,0
75,82,2,1,3,4,4,1,1,1,0,0
70,74,2,1,3,3,3,1,1,1,1,0
65,59,1,1,3,3,2,1,1,0,0,0
55,49,1,1,1,3,2,1,1,0,1,0
50,33,0,1,1,2,1,1,1,0,0,0
42,28,0,1,1,1,0,1,1,0,0,0
32,28,0,1,0,1,0,0,1,0,0,0
14,28,0,1,5,5,5,1,1,1,0,1
14,8,0,0,5,5,5,0,0,1,0,0
4,3,0,0,4,5,4,0,0,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,90,2,2,4,4,5,1,1,1,0,0
87,82,2,2,4,3,4,1,1,1,1,0
79,66,1,2,4,1,4,1,1,1,1,0
74,46,0,2,3,1,3,1,1,1,0,0
74,41,0,2,3,1,2,0,1,1,0,0
64,31,0,2,1,1,2,0,1,1,0,0
59,18,0,2,1,0,2,0,1,0,0,0
54,13,0,2,1,0,0,0,1,0,0,1
100,100,2,2,5,5,5,1,1,1,1,0
92,84,1,2,5,3,5,1,1,1,0,0
87,79,1,2,5,3,3,1,1,1,0,1
66,74,1,1,5,2,3,1,1,0,0,0
56,64,1,1,3,2,3,1,1,0,1,1
40,54,0,0,3,1,2,1,1,0,0,0
35,54,0,0,3,1,1,0,1,0,0,0
35,39,0,0,3,1,0,0,0,0,0,0
27,29,0,0,2,0,0,0,0,0,0,0
17,19,0,0,5,5,5,1,1,1,0,0
4,14,0,0,5,4,5,1,1,0,0,0
100,100,2,2,5,5,5,1,1,1,0,0
85,95,2,2,5,5,5,1,0,0,0,0
77,90,2,2,5,4,4,1,0,0,0,0
77,80,2,2,4,4,4,0,0,0,0,0
72,72,2,2,4,3,3,0,0,0,1,0
67,56,1,2,4,2,2,0,0,0,1,1
47,46,0,1,3,2,1,0,0,0,0,0
37,36,0,1,1,2,1,0,0,0,0,0
29,31,0,1,1,1,0,0,0,0,0,0
19,23,0,1,5,5,5,1,1,1,0,0
14,13,0,1,4,5,4,1,1,1,0,0
14,8,0,1,4,5,3,0,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
95,92,2,2,5,4,4,1,1,1,0,0
90,84,2,2,5,3,3,1,1,1,0,0
82,79,2,2,5,2,2,1,1,1,0,0
82,71,2,2,5,1,2,0,1,1,0,0
67,66,2,2,4,1,2,0,1,0,1,0
37,66,1,2,3,1,2,0,0,0,0,0
27,61,1,2,2,1,1,0,0,0,1,1
17,41,0,1,1,1,0,0,0,0,0,0
9,31,0,1,5,5,5,1,1,1,0,0
1,21,0,1,4,4,5,1,1,1,0,1
100,100,2,2,5,5,5,1,1,1,0,0
90,90,2,2,3,5,5,1,1,1,0,0
85,85,2,2,3,5,3,1,1,1,1,0
85,75,1,2,3,5,3,0,0,1,0,0
80,67,1,2,3,4,2,0,0,1,0,0
70,59,1,2,2,3,2,0,0,1,0,0
65,44,1,2,1,3,2,0,0,0,0,0
57,34,1,2,0,2,2,0,0,0,0,0
52,26,1,2,0,1,1,0,0,0,0,0
47,18,1,2,5,5,5,1,1,1,1,0
42,8,0,2,5,5,3,1,1,1,0,0
34,8,0,2,5,4,3,0,1,1,0,0
100,100,2,2,5,5,5,1,1,1,1,0
90,80,1,2,3,5,5,1,1,1,1,0
82,60,0,2,2,4,5,1,1,1,0,0
77,47,0,2,2,3,5,1,1,0,0,0
72,39,0,2,2,2,4,1,1,0,0,1
72,14,0,1,2,2,3,1,0,0,0,0
64,4,0,1,1,1,3,1,0,0,0,0
100,100,2,2,5,5,5,1,1,1,0,0
80,100,2,2,4,5,5,1,0,1,0,0
75,90,2,2,3,5,4,1,0,1,0,0
70,80,2,2,2,5,3,1,0,1,0,0
62,72,2,2,2,3,3,1,0,1,0,1
42,67,2,1,1,3,2,1,0,1,0,0
34,59,2,1,1,1,2,1,0,1,0,1
14,54,2,0,0,1,1,1,0,1,0,0
9,49,2,0,0,1,1,0,0,0,0,0
4,41,2,0,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,1,0
95,84,1,2,5,4,4,1,1,1,0,0
90,76,1,2,5,3,3,1,1,1,0,0
85,66,1,2,4,3,2,1,1,1,0,0
75,56,1,2,2,3,2,1,1,1,0,0
75,46,1,2,2,3,2,0,0,1,1,0
67,30,0,2,2,1,2,0,0,1,0,0
62,20,0,2,1,1,1,0,0,1,0,1
52,12,0,1,1,0,0,0,0,1,0,0
37,7,0,1,5,5,5,1,1,1,0,1
21,2,0,0,5,4,4,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
95,90,2,2,4,5,4,1,1,1,0,0
85,80,2,2,2,5,4,1,1,1,0,0
77,70,2,2,1,4,4,1,1,1,1,0
69,60,1,2,1,3,3,1,1,1,1,0
54,50,0,2,1,3,2,1,1,0,0,0
54,35,0,2,1,3,1,1,0,0,0,0
44,27,0,2,0,2,1,1,0,0,0,0
39,19,0,2,0,1,0,1,0,0,0,0
31,19,0,2,5,5,5,1,1,1,0,0
31,9,0,2,4,5,5,0,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,1
90,90,2,1,4,5,4,1,1,1,0,0
85,82,2,1,4,4,3,1,1,1,0,0
80,74,2,1,4,3,2,1,1,1,1,0
70,58,1,1,3,2,2,1,1,1,0,0
60,50,1,1,2,1,2,1,1,1,1,0
60,40,0,1,2,1,1,0,1,1,0,1
60,12,0,0,2,0,1,0,0,1,0,0
55,2,0,0,1,0,0,0,0,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,95,2,2,5,4,4,1,1,1,0,0
84,85,2,2,4,3,4,1,1,1,0,1
64,80,2,1,3,3,3,1,1,1,0,0
64,70,2,1,3,3,3,0,0,1,1,0
59,45,1,1,2,3,3,0,0,0,0,0
54,37,1,1,2,2,2,0,0,0,0,0
46,27,1,1,1,1,2,0,0,0,1,0
41,17,0,1,1,1,0,0,0,0,0,0
31,9,0,1,5,5,5,1,1,1,0,0
23,4,0,1,5,4,4,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,95,2,2,5,4,4,1,1,1,1,0
77,85,1,2,5,4,3,1,1,0,0,0
72,80,1,2,5,4,1,1,1,0,0,0
72,60,1,2,4,4,1,1,0,0,1,0
62,44,0,2,3,3,1,1,0,0,0,1
46,34,0,1,2,2,1,1,0,0,0,0
38,24,0,1,1,1,1,1,0,0,0,0
28,24,0,1,0,1,1,0,0,0,0,0
20,19,0,1,5,5,5,1,1,1,0,0
15,9,0,1,4,5,4,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,90,2,2,4,4,5,1,1,1,0,0
82,85,2,2,3,4,4,1,1,1,0,0
77,75,2,2,2,4,3,1,1,1,1,0
57,75,1,2,2,4,3,0,0,1,0,0
52,67,1,2,2,3,2,0,0,1,1,0
42,51,0,2,1,2,2,0,0,1,0,0
27,46,0,2,0,2,2,0,0,0,0,0
19,41,0,2,0,1,1,0,0,0,0,0
14,33,0,2,5,5,5,1,1,1,0,0
6,25,0,2,5,3,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
95,95,2,2,5,5,3,1,1,1,1,0
85,79,1,2,4,4,3,1,1,1,1,0
80,79,0,2,4,4,2,0,1,1,0,0
80,61,0,2,4,3,2,0,0,1,0,1
70,43,0,1,4,2,2,0,0,0,0,1
50,35,0,0,3,1,2,0,0,0,0,0
40,27,0,0,2,0,2,0,0,0,0,0
30,22,0,0,1,0,1,0,0,0,0,0
20,17,0,0,5,5,5,1,1,1,0,0
15,7,0,0,4,5,4,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,90,2,2,4,4,5,1,1,1,0,0
82,85,2,2,3,4,4,1,1,1,0,0
72,75,2,2,1,4,4,1,1,1,0,0
64,70,2,2,1,3,3,1,1,1,0,0
56,62,2,2,1,1,3,1,1,1,0,0
46,62,2,2,1,1,3,0,0,1,0,1
36,57,2,1,1,1,1,0,0,1,1,0
28,37,1,1,0,0,1,0,0,1,0,0
23,27,1,1,5,5,5,1,1,1,0,0
15,19,1,1,5,3,5,1,1,1,0,1
5,14,1,0,5,3,3,1,1,1,1,0
100,100,2,2,5,5,5,1,1,1,0,0
95,90,2,2,4,5,4,1,1,1,0,0
85,85,2,2,3,5,3,1,1,1,0,0
65,85,2,2,2,5,3,1,0,1,0,1
55,77,2,1,2,4,2,1,0,1,0,0
45,69,2,1,1,3,2,1,0,1,0,1
35,59,2,0,1,3,2,0,0,0,0,0
27,54,2,0,1,2,1,0,0,0,0,0
19,44,2,0,0,1,1,0,0,0,0,0
11,39,2,0,5,5,5,1,1,1,0,0
11,24,2,0,5,5,4,1,0,1,0,0
11,16,2,0,5,4,4,0,0,1,1,0
6,1,1,0,5,4,3,0,0,0,1,0
100,100,2,2,5,5,5,1,1,1,0,1
84,100,2,1,5,4,5,0,1,1,0,0
79,90,2,1,4,4,4,0,1,1,0,0
69,85,2,1,3,4,3,0,1,1,1,0
61,65,1,1,2,3,3,0,1,1,0,0
51,57,1,1,1,2,3,0,1,1,1,0
36,47,0,1,1,2,2,0,1,0,0,0
31,39,0,1,1,1,1,0,1,0,0,0
31,19,0,1,0,1,1,0,0,0,0,0
23,14,0,1,5,5,5,1,1,1,0,0
15,6,0,1,5,3,5,1,1,1,0,1
100,100,2,2,5,5,5,1,1,1,0,0
80,100,2,2,4,5,5,1,0,1,0,0
72,92,2,2,4,3,5,1,0,1,0,1
72,87,2,1,4,3,4,0,0,1,1,0
62,77,1,1,3,3,3,0,0,1,0,1
37,72,1,0,2,3,3,0,0,0,0,0
27,67,1,0,1,3,2,0,0,0,0,0
19,59,1,0,1,1,2,0,0,0,0,0
14,51,1,0,1,0,1,0,0,0,1,0
4,41,0,0,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,1
79,95,2,1,5,4,5,1,1,0,0,1
69,87,2,0,5,3,4,1,1,0,0,0
64,77,2,0,4,3,3,1,1,0,0,0
64,57,2,0,3,3,3,1,0,0,1,0
56,37,1,0,2,2,3,1,0,0,1,0
46,27,0,0,1,2,2,1,0,0,0,0
46,22,0,0,1,2,1,0,0,0,0,0
38,17,0,0,1,1,0,0,0,0,0,0
28,9,0,0,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
90,90,2,2,3,5,5,1,1,1,0,1
70,85,2,1,2,5,4,1,1,1,1,0
42,85,1,1,2,4,4,1,0,1,0,0
37,77,1,1,2,3,3,1,0,1,0,1
27,69,1,0,2,2,2,1,0,1,0,0
17,64,1,0,1,2,1,1,0,1,0,0
7,56,1,0,0,1,1,1,0,1,0,0
2,51,1,0,0,1,1,0,0,0,0,0
100,100,2,2,5,5,5,1,1,1,0,0
90,95,2,2,4,5,4,1,1,1,1,1
74,85,1,1,4,4,3,1,1,1,1,0
64,65,0,1,2,4,3,1,1,1,0,0
59,60,0,1,2,4,1,1,1,1,0,1
49,52,0,0,2,3,0,1,1,1,0,0
36,47,0,0,2,2,0,1,1,0,0,0
26,37,0,0,0,2,0,1,1,0,0,0
26,29,0,0,0,1,0,0,1,0,0,0
8,29,0,0,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
90,100,2,2,4,5,5,0,1,1,0,0
80,92,2,2,3,4,5,0,1,1,0,1
70,87,2,1,3,4,3,0,1,1,0,0
65,82,2,1,3,4,1,0,1,1,1,0
55,66,1,1,2,3,1,0,1,1,0,0
50,51,1,1,2,3,1,0,0,0,0,0
40,43,1,1,1,2,1,0,0,0,0,0
32,38,1,1,1,1,0,0,0,0,0,1
16,28,1,0,5,5,5,1,1,1,0,0
6,23,1,0,4,5,4,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
90,95,2,2,4,5,4,1,1,1,0,0
82,90,2,2,4,4,3,1,1,1,1,0
52,90,1,2,3,4,3,1,0,1,0,0
44,90,1,2,3,3,3,0,0,1,0,0
39,80,1,2,2,3,2,0,0,1,0,0
34,70,1,2,1,3,1,0,0,1,0,0
29,60,1,2,0,3,0,0,0,1,0,1
13,52,1,1,0,1,0,0,0,1,0,0
8,39,1,1,5,5,5,1,1,1,0,0
8,31,1,1,5,4,5,0,1,1,0,0
100,100,2,2,5,5,5,1,1,1,1,0
100,80,1,2,5,5,4,1,0,1,1,1
80,64,0,1,4,4,4,1,0,1,0,0
70,59,0,1,3,4,3,1,0,1,0,0
62,54,0,1,3,3,2,1,0,1,0,0
54,44,0,1,2,2,2,1,0,1,0,0
49,36,0,1,2,1,1,1,0,1,0,0
44,31,0,1,2,1,1,0,0,0,0,0
39,21,0,1,1,1,0,0,0,0,0,1
19,13,0,0,5,5,5,1,1,1,0,0
1,13,0,0,5,4,5,1,0,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
95,95,2,2,5,5,3,1,1,1,0,0
80,90,2,2,4,5,3,1,1,0,1,0
75,74,1,2,4,4,2,1,1,0,0,0
67,66,1,2,4,2,2,1,1,0,0,0
67,61,1,2,4,2,1,0,1,0,1,0
57,41,0,2,2,2,1,0,1,0,0,1
57,11,0,1,1,2,1,0,0,0,0,0
52,1,0,1,0,2,0,0,0,0,0,0
100,100,2,2,5,5,5,1,1,1,0,0
90,95,2,2,4,5,4,1,1,1,0,1
74,90,2,1,4,4,3,1,1,1,1,1
54,70,1,0,2,4,3,1,1,1,0,0
46,60,1,0,1,3,3,1,1,1,0,0
41,60,1,0,1,3,2,0,1,1,0,0
31,55,1,0,1,3,1,0,1,0,0,0
13,55,1,0,1,2,1,0,0,0,0,0
5,47,1,0,1,0,1,0,0,0,0,0
100,100,2,2,5,5,5,1,1,1,1,0
95,80,1,2,4,5,4,1,1,1,0,1
95,52,1,1,4,4,4,1,0,1,0,0
90,42,1,1,3,4,3,1,0,1,0,0
82,42,1,1,3,3,3,0,0,1,0,0
74,34,1,1,3,1,3,0,0,1,0,1
54,26,1,0,2,0,3,0,0,1,0,0
39,21,1,0,1,0,3,0,0,0,1,0
34,11,0,0,1,0,1,0,0,0,0,0
29,1,0,0,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
95,87,2,2,5,4,5,1,1,0,0,0
85,82,2,2,4,4,4,1,1,0,0,1
65,77,2,1,3,4,3,1,1,0,0,0
57,72,2,1,3,3,2,1,1,0,1,1
41,56,1,0,3,1,2,1,1,0,1,0
41,26,0,0,2,1,2,1,0,0,0,0
36,18,0,0,2,0,1,1,0,0,0,0
36,8,0,0,1,0,1,0,0,0,0,0
26,3,0,0,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,1,1
90,80,1,1,4,5,4,1,1,1,0,0
75,80,1,1,4,5,3,1,0,1,0,0
67,80,1,1,4,4,3,0,0,1,1,0
57,64,0,1,3,3,3,0,0,1,0,0
49,59,0,1,3,2,2,0,0,1,0,0
39,54,0,1,2,2,1,0,0,1,0,0
31,44,0,1,1,1,1,0,0,1,0,0
26,34,0,1,0,1,0,0,0,1,0,0
21,21,0,1,5,5,5,1,1,1,0,0
11,16,0,1,4,5,4,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,1,0
90,84,1,2,4,4,5,1,1,1,0,0
82,76,1,2,4,2,5,1,1,1,0,0
77,63,1,2,4,1,5,1,1,0,0,1
47,63,1,1,3,1,5,1,0,0,0,1
37,53,1,0,2,1,4,1,0,0,0,0
37,45,1,0,2,0,4,0,0,0,0,0
27,40,1,0,1,0,3,0,0,0,0,0
17,35,1,0,0,0,2,0,0,0,0,0
12,30,1,0,5,5,5,1,1,1,0,0
12,15,1,0,5,5,4,1,0,1,1,0
100,100,2,2,5,5,5,1,1,1,1,0
92,84,1,2,5,3,5,1,1,1,1,0
82,74,0,2,4,3,4,1,1,1,0,0
74,64,0,2,3,2,4,1,1,1,0,0
69,54,0,2,2,2,3,1,1,1,0,0
54,54,0,2,2,2,2,1,0,1,0,0
49,41,0,2,2,1,2,1,0,0,0,0
39,36,0,2,1,1,1,1,0,0,0,0
39,31,0,2,1,1,0,0,0,0,0,1
19,23,0,1,5,5,5,1,1,1,0,0
14,13,0,1,5,5,4,1,1,0,0,1
100,100,2,2,5,5,5,1,1,1,0,0
95,92,2,2,5,4,4,1,1,1,0,0
